2021-05-22 12:48:09.2002775 +0800 CST m=+0.060618301 INFO   : query(934) success, no. 0, client 6, latency 60.093ms
2021-05-22 12:48:09.2556826 +0800 CST m=+0.116023401 INFO   : query(39) success, no. 1, client 6, latency 55.3058ms
2021-05-22 12:48:09.3065759 +0800 CST m=+0.166916701 INFO   : query(626) success, no. 2, client 6, latency 50.8724ms
2021-05-22 12:48:09.3566355 +0800 CST m=+0.216976301 INFO   : query(910) success, no. 3, client 6, latency 50.0424ms
2021-05-22 12:48:09.4063004 +0800 CST m=+0.266641201 INFO   : query(98) success, no. 4, client 6, latency 49.6535ms
2021-05-22 12:48:09.4560609 +0800 CST m=+0.316401701 INFO   : query(969) success, no. 5, client 6, latency 49.7308ms
2021-05-22 12:48:09.5066506 +0800 CST m=+0.366991401 INFO   : query(306) success, no. 6, client 6, latency 50.5636ms
2021-05-22 12:48:09.5597251 +0800 CST m=+0.420066001 INFO   : query(64) success, no. 7, client 6, latency 53.0371ms
2021-05-22 12:48:09.6120737 +0800 CST m=+0.472414501 INFO   : query(1) success, no. 8, client 6, latency 52.3045ms
2021-05-22 12:48:09.6620413 +0800 CST m=+0.522382101 INFO   : query(382) success, no. 9, client 6, latency 49.8951ms
2021-05-22 12:48:09.7170142 +0800 CST m=+0.577355001 INFO   : query(759) success, no. 10, client 6, latency 54.9287ms
2021-05-22 12:48:09.7685483 +0800 CST m=+0.628889101 INFO   : query(151) success, no. 11, client 6, latency 51.4934ms
2021-05-22 12:48:09.8260918 +0800 CST m=+0.686432601 INFO   : query(928) success, no. 12, client 6, latency 57.4974ms
2021-05-22 12:48:09.885047 +0800 CST m=+0.745387801 INFO   : query(852) success, no. 13, client 6, latency 58.9317ms
2021-05-22 12:48:09.9428938 +0800 CST m=+0.803234601 INFO   : query(994) success, no. 14, client 6, latency 57.8119ms
2021-05-22 12:48:10.0018022 +0800 CST m=+0.862143101 INFO   : query(601) success, no. 15, client 6, latency 58.8521ms
2021-05-22 12:48:10.0589175 +0800 CST m=+0.919258301 INFO   : query(212) success, no. 16, client 6, latency 57.0934ms
2021-05-22 12:48:10.1215047 +0800 CST m=+0.981845601 INFO   : query(83) success, no. 17, client 6, latency 62.5598ms
2021-05-22 12:48:10.1739709 +0800 CST m=+1.034311701 INFO   : query(628) success, no. 18, client 6, latency 52.3866ms
2021-05-22 12:48:10.2285791 +0800 CST m=+1.088920001 INFO   : query(889) success, no. 19, client 6, latency 54.5251ms
2021-05-22 12:48:10.2836552 +0800 CST m=+1.143996001 INFO   : query(61) success, no. 20, client 6, latency 55.0371ms
2021-05-22 12:48:10.3422426 +0800 CST m=+1.202583401 INFO   : query(938) success, no. 21, client 6, latency 58.5461ms
2021-05-22 12:48:10.3941474 +0800 CST m=+1.254488201 INFO   : query(579) success, no. 22, client 6, latency 51.8779ms
2021-05-22 12:48:10.4455481 +0800 CST m=+1.305888901 INFO   : query(87) success, no. 23, client 6, latency 51.3412ms
2021-05-22 12:48:10.4987806 +0800 CST m=+1.359121401 INFO   : query(797) success, no. 24, client 6, latency 53.2106ms
2021-05-22 12:48:10.5534166 +0800 CST m=+1.413757401 INFO   : query(179) success, no. 25, client 6, latency 54.5421ms
2021-05-22 12:48:10.6073251 +0800 CST m=+1.467666001 INFO   : query(765) success, no. 26, client 6, latency 48.3014ms
2021-05-22 12:48:10.6614008 +0800 CST m=+1.521741601 INFO   : query(435) success, no. 27, client 6, latency 54.0514ms
2021-05-22 12:48:10.7172814 +0800 CST m=+1.577622201 INFO   : query(810) success, no. 28, client 6, latency 55.8677ms
2021-05-22 12:48:10.7728186 +0800 CST m=+1.633159501 INFO   : query(484) success, no. 29, client 6, latency 55.5074ms
2021-05-22 12:48:10.8293117 +0800 CST m=+1.689652501 INFO   : query(994) success, no. 30, client 6, latency 56.4609ms
2021-05-22 12:48:10.8818422 +0800 CST m=+1.742183101 INFO   : query(984) success, no. 31, client 6, latency 52.5106ms
2021-05-22 12:48:10.9379994 +0800 CST m=+1.798340201 INFO   : query(855) success, no. 32, client 6, latency 56.1158ms
2021-05-22 12:48:10.9973244 +0800 CST m=+1.857665201 INFO   : query(633) success, no. 33, client 6, latency 59.2922ms
2021-05-22 12:48:11.0584013 +0800 CST m=+1.918742101 INFO   : query(519) success, no. 34, client 6, latency 61.0617ms
2021-05-22 12:48:11.1204142 +0800 CST m=+1.980755001 INFO   : query(485) success, no. 35, client 6, latency 61.9846ms
2021-05-22 12:48:11.1833917 +0800 CST m=+2.043732501 INFO   : query(314) success, no. 36, client 6, latency 62.935ms
2021-05-22 12:48:11.2471083 +0800 CST m=+2.107449101 INFO   : query(310) success, no. 37, client 6, latency 63.6881ms
2021-05-22 12:48:11.3231404 +0800 CST m=+2.183481201 INFO   : query(689) success, no. 38, client 6, latency 75.9626ms
2021-05-22 12:48:11.3967784 +0800 CST m=+2.257119201 INFO   : query(385) success, no. 39, client 6, latency 73.5665ms
2021-05-22 12:48:11.4611908 +0800 CST m=+2.321531601 INFO   : query(673) success, no. 40, client 6, latency 64.3547ms
2021-05-22 12:48:11.5149921 +0800 CST m=+2.375332901 INFO   : query(122) success, no. 41, client 6, latency 53.7362ms
2021-05-22 12:48:11.5708921 +0800 CST m=+2.431232901 INFO   : query(353) success, no. 42, client 6, latency 55.8743ms
2021-05-22 12:48:11.6315307 +0800 CST m=+2.491871601 INFO   : query(777) success, no. 43, client 6, latency 60.597ms
2021-05-22 12:48:11.6995037 +0800 CST m=+2.559844501 INFO   : query(297) success, no. 44, client 6, latency 67.9358ms
2021-05-22 12:48:11.7695498 +0800 CST m=+2.629890601 INFO   : query(111) success, no. 45, client 6, latency 69.9677ms
2021-05-22 12:48:11.8264856 +0800 CST m=+2.686826401 INFO   : query(179) success, no. 46, client 6, latency 56.8662ms
2021-05-22 12:48:11.8954134 +0800 CST m=+2.755754301 INFO   : query(505) success, no. 47, client 6, latency 68.8793ms
2021-05-22 12:48:11.9635672 +0800 CST m=+2.823908001 INFO   : query(590) success, no. 48, client 6, latency 68.0626ms
2021-05-22 12:48:12.0256143 +0800 CST m=+2.885955201 INFO   : query(230) success, no. 49, client 6, latency 62.0212ms
2021-05-22 12:48:12.0759535 +0800 CST m=+2.936294301 INFO   : query(794) success, no. 50, client 6, latency 50.2902ms
