2021-05-22 12:48:09.1963711 +0800 CST m=+0.056711901 INFO   : query(507) success, no. 0, client 8, latency 56.2796ms
2021-05-22 12:48:09.2566105 +0800 CST m=+0.116951301 INFO   : query(464) success, no. 1, client 8, latency 60.082ms
2021-05-22 12:48:09.3044392 +0800 CST m=+0.164780101 INFO   : query(931) success, no. 2, client 8, latency 47.8056ms
2021-05-22 12:48:09.3545524 +0800 CST m=+0.214893201 INFO   : query(891) success, no. 3, client 8, latency 50.0602ms
2021-05-22 12:48:09.4058437 +0800 CST m=+0.266184501 INFO   : query(26) success, no. 4, client 8, latency 51.2457ms
2021-05-22 12:48:09.4536233 +0800 CST m=+0.313964101 INFO   : query(627) success, no. 5, client 8, latency 47.7347ms
2021-05-22 12:48:09.5060927 +0800 CST m=+0.366433501 INFO   : query(626) success, no. 6, client 8, latency 52.417ms
2021-05-22 12:48:09.5558301 +0800 CST m=+0.416170901 INFO   : query(740) success, no. 7, client 8, latency 49.6875ms
2021-05-22 12:48:09.6098429 +0800 CST m=+0.470183801 INFO   : query(136) success, no. 8, client 8, latency 53.9368ms
2021-05-22 12:48:09.6629056 +0800 CST m=+0.523246401 INFO   : query(44) success, no. 9, client 8, latency 53.0242ms
2021-05-22 12:48:09.7145713 +0800 CST m=+0.574912101 INFO   : query(248) success, no. 10, client 8, latency 51.6185ms
2021-05-22 12:48:09.7707911 +0800 CST m=+0.631131901 INFO   : query(708) success, no. 11, client 8, latency 56.2036ms
2021-05-22 12:48:09.824333 +0800 CST m=+0.684673801 INFO   : query(395) success, no. 12, client 8, latency 53.5098ms
2021-05-22 12:48:09.885503 +0800 CST m=+0.745843901 INFO   : query(600) success, no. 13, client 8, latency 61.1109ms
2021-05-22 12:48:09.94246 +0800 CST m=+0.802800801 INFO   : query(603) success, no. 14, client 8, latency 56.9387ms
2021-05-22 12:48:10.0016324 +0800 CST m=+0.861973201 INFO   : query(611) success, no. 15, client 8, latency 59.1203ms
2021-05-22 12:48:10.0626918 +0800 CST m=+0.923032701 INFO   : query(728) success, no. 16, client 8, latency 61.0233ms
2021-05-22 12:48:10.1171115 +0800 CST m=+0.977452301 INFO   : query(645) success, no. 17, client 8, latency 54.3818ms
2021-05-22 12:48:10.1749894 +0800 CST m=+1.035330201 INFO   : query(246) success, no. 18, client 8, latency 57.8082ms
2021-05-22 12:48:10.226743 +0800 CST m=+1.087083801 INFO   : query(518) success, no. 19, client 8, latency 51.7218ms
2021-05-22 12:48:10.2837289 +0800 CST m=+1.144069701 INFO   : query(571) success, no. 20, client 8, latency 56.9498ms
2021-05-22 12:48:10.3415746 +0800 CST m=+1.201915501 INFO   : query(587) success, no. 21, client 8, latency 57.8063ms
2021-05-22 12:48:10.3946705 +0800 CST m=+1.255011301 INFO   : query(828) success, no. 22, client 8, latency 53.0581ms
2021-05-22 12:48:10.4457321 +0800 CST m=+1.306072901 INFO   : query(792) success, no. 23, client 8, latency 51.0324ms
2021-05-22 12:48:10.4994067 +0800 CST m=+1.359747501 INFO   : query(665) success, no. 24, client 8, latency 53.6551ms
2021-05-22 12:48:10.5571894 +0800 CST m=+1.417530201 INFO   : query(763) success, no. 25, client 8, latency 57.7619ms
2021-05-22 12:48:10.6075435 +0800 CST m=+1.467884401 INFO   : query(742) success, no. 26, client 8, latency 48.5218ms
2021-05-22 12:48:10.6595517 +0800 CST m=+1.519892501 INFO   : query(537) success, no. 27, client 8, latency 51.9942ms
2021-05-22 12:48:10.7145634 +0800 CST m=+1.574904201 INFO   : query(179) success, no. 28, client 8, latency 54.9768ms
2021-05-22 12:48:10.7742405 +0800 CST m=+1.634581401 INFO   : query(748) success, no. 29, client 8, latency 59.6196ms
2021-05-22 12:48:10.8283563 +0800 CST m=+1.688697101 INFO   : query(874) success, no. 30, client 8, latency 54.0844ms
2021-05-22 12:48:10.8819408 +0800 CST m=+1.742281601 INFO   : query(312) success, no. 31, client 8, latency 53.5374ms
2021-05-22 12:48:10.9395138 +0800 CST m=+1.799854601 INFO   : query(623) success, no. 32, client 8, latency 57.5611ms
2021-05-22 12:48:10.9970149 +0800 CST m=+1.857355801 INFO   : query(526) success, no. 33, client 8, latency 57.4649ms
2021-05-22 12:48:11.0620003 +0800 CST m=+1.922341101 INFO   : query(193) success, no. 34, client 8, latency 64.9602ms
2021-05-22 12:48:11.1362572 +0800 CST m=+1.996598101 INFO   : query(198) success, no. 35, client 8, latency 74.1825ms
2021-05-22 12:48:11.2091001 +0800 CST m=+2.069440901 INFO   : query(403) success, no. 36, client 8, latency 72.7332ms
2021-05-22 12:48:11.2846083 +0800 CST m=+2.144949201 INFO   : query(740) success, no. 37, client 8, latency 75.4427ms
2021-05-22 12:48:11.3614086 +0800 CST m=+2.221749401 INFO   : query(213) success, no. 38, client 8, latency 76.741ms
2021-05-22 12:48:11.4256421 +0800 CST m=+2.285983001 INFO   : query(805) success, no. 39, client 8, latency 64.2038ms
2021-05-22 12:48:11.4876266 +0800 CST m=+2.347967401 INFO   : query(726) success, no. 40, client 8, latency 61.9543ms
2021-05-22 12:48:11.544563 +0800 CST m=+2.404903801 INFO   : query(175) success, no. 41, client 8, latency 56.8628ms
2021-05-22 12:48:11.6022046 +0800 CST m=+2.462545401 INFO   : query(469) success, no. 42, client 8, latency 57.6137ms
2021-05-22 12:48:11.6662252 +0800 CST m=+2.526566101 INFO   : query(121) success, no. 43, client 8, latency 63.9316ms
2021-05-22 12:48:11.7363517 +0800 CST m=+2.596692601 INFO   : query(604) success, no. 44, client 8, latency 70.0624ms
2021-05-22 12:48:11.7965989 +0800 CST m=+2.656939701 INFO   : query(530) success, no. 45, client 8, latency 60.2304ms
2021-05-22 12:48:11.8546676 +0800 CST m=+2.715008401 INFO   : query(696) success, no. 46, client 8, latency 58.0352ms
2021-05-22 12:48:11.9100796 +0800 CST m=+2.770420401 INFO   : query(925) success, no. 47, client 8, latency 55.3739ms
2021-05-22 12:48:11.9669289 +0800 CST m=+2.827269701 INFO   : query(401) success, no. 48, client 8, latency 56.8167ms
2021-05-22 12:48:12.0191945 +0800 CST m=+2.879535401 INFO   : query(782) success, no. 49, client 8, latency 52.2227ms
2021-05-22 12:48:12.07595 +0800 CST m=+2.936290801 INFO   : query(0) success, no. 50, client 8, latency 56.6937ms
