2021-05-22 12:48:09.2012877 +0800 CST m=+0.061628501 INFO   : query(309) success, no. 0, client 4, latency 60.5329ms
2021-05-22 12:48:09.255398 +0800 CST m=+0.115738801 INFO   : query(133) success, no. 1, client 4, latency 54.0487ms
2021-05-22 12:48:09.3075997 +0800 CST m=+0.167940501 INFO   : query(858) success, no. 2, client 4, latency 52.1406ms
2021-05-22 12:48:09.3566783 +0800 CST m=+0.217019101 INFO   : query(327) success, no. 3, client 4, latency 49.0535ms
2021-05-22 12:48:09.40401 +0800 CST m=+0.264350801 INFO   : query(19) success, no. 4, client 4, latency 47.3247ms
2021-05-22 12:48:09.4557643 +0800 CST m=+0.316105101 INFO   : query(448) success, no. 5, client 4, latency 51.737ms
2021-05-22 12:48:09.5080612 +0800 CST m=+0.368402101 INFO   : query(495) success, no. 6, client 4, latency 52.2573ms
2021-05-22 12:48:09.5563128 +0800 CST m=+0.416653601 INFO   : query(613) success, no. 7, client 4, latency 48.2091ms
2021-05-22 12:48:09.6101298 +0800 CST m=+0.470470601 INFO   : query(722) success, no. 8, client 4, latency 53.7899ms
2021-05-22 12:48:09.6634265 +0800 CST m=+0.523767401 INFO   : query(796) success, no. 9, client 4, latency 53.2798ms
2021-05-22 12:48:09.7142491 +0800 CST m=+0.574589901 INFO   : query(590) success, no. 10, client 4, latency 50.8058ms
2021-05-22 12:48:09.7680011 +0800 CST m=+0.628342001 INFO   : query(116) success, no. 11, client 4, latency 53.7313ms
2021-05-22 12:48:09.8251642 +0800 CST m=+0.685505001 INFO   : query(507) success, no. 12, client 4, latency 57.1095ms
2021-05-22 12:48:09.8854831 +0800 CST m=+0.745823901 INFO   : query(841) success, no. 13, client 4, latency 60.2757ms
2021-05-22 12:48:09.9418675 +0800 CST m=+0.802208301 INFO   : query(135) success, no. 14, client 4, latency 56.3542ms
2021-05-22 12:48:10.0016415 +0800 CST m=+0.861982301 INFO   : query(874) success, no. 15, client 4, latency 59.7176ms
2021-05-22 12:48:10.0612338 +0800 CST m=+0.921574601 INFO   : query(328) success, no. 16, client 4, latency 59.5672ms
2021-05-22 12:48:10.1199184 +0800 CST m=+0.980259301 INFO   : query(429) success, no. 17, client 4, latency 58.6367ms
2021-05-22 12:48:10.1762752 +0800 CST m=+1.036616101 INFO   : query(106) success, no. 18, client 4, latency 56.3182ms
2021-05-22 12:48:10.2261553 +0800 CST m=+1.086496201 INFO   : query(984) success, no. 19, client 4, latency 49.8384ms
2021-05-22 12:48:10.2851944 +0800 CST m=+1.145535301 INFO   : query(476) success, no. 20, client 4, latency 58.9947ms
2021-05-22 12:48:10.3422459 +0800 CST m=+1.202586701 INFO   : query(40) success, no. 21, client 4, latency 57.011ms
2021-05-22 12:48:10.3947613 +0800 CST m=+1.255102101 INFO   : query(809) success, no. 22, client 4, latency 52.4913ms
2021-05-22 12:48:10.4462096 +0800 CST m=+1.306550501 INFO   : query(626) success, no. 23, client 4, latency 51.4319ms
2021-05-22 12:48:10.498944 +0800 CST m=+1.359284801 INFO   : query(120) success, no. 24, client 4, latency 52.7146ms
2021-05-22 12:48:10.5533979 +0800 CST m=+1.413738701 INFO   : query(48) success, no. 25, client 4, latency 54.4304ms
2021-05-22 12:48:10.6075564 +0800 CST m=+1.467897301 INFO   : query(710) success, no. 26, client 4, latency 48.5077ms
2021-05-22 12:48:10.6613207 +0800 CST m=+1.521661601 INFO   : query(380) success, no. 27, client 4, latency 53.7427ms
2021-05-22 12:48:10.7169701 +0800 CST m=+1.577310901 INFO   : query(916) success, no. 28, client 4, latency 55.6269ms
2021-05-22 12:48:10.7724299 +0800 CST m=+1.632770801 INFO   : query(78) success, no. 29, client 4, latency 55.4334ms
2021-05-22 12:48:10.8289566 +0800 CST m=+1.689297401 INFO   : query(888) success, no. 30, client 4, latency 56.49ms
2021-05-22 12:48:10.8794542 +0800 CST m=+1.739795101 INFO   : query(884) success, no. 31, client 4, latency 50.4799ms
2021-05-22 12:48:10.9379142 +0800 CST m=+1.798255001 INFO   : query(19) success, no. 32, client 4, latency 58.4384ms
2021-05-22 12:48:10.9987456 +0800 CST m=+1.859086401 INFO   : query(204) success, no. 33, client 4, latency 60.7774ms
2021-05-22 12:48:11.059002 +0800 CST m=+1.919342901 INFO   : query(206) success, no. 34, client 4, latency 60.1978ms
2021-05-22 12:48:11.123214 +0800 CST m=+1.983554801 INFO   : query(139) success, no. 35, client 4, latency 64.1802ms
2021-05-22 12:48:11.1837589 +0800 CST m=+2.044099701 INFO   : query(477) success, no. 36, client 4, latency 60.4986ms
2021-05-22 12:48:11.2435768 +0800 CST m=+2.103917601 INFO   : query(405) success, no. 37, client 4, latency 59.8016ms
2021-05-22 12:48:11.3022909 +0800 CST m=+2.162631801 INFO   : query(905) success, no. 38, client 4, latency 58.6646ms
2021-05-22 12:48:11.3608521 +0800 CST m=+2.221193001 INFO   : query(823) success, no. 39, client 4, latency 58.5353ms
2021-05-22 12:48:11.4266058 +0800 CST m=+2.286946701 INFO   : query(801) success, no. 40, client 4, latency 65.6857ms
2021-05-22 12:48:11.4880223 +0800 CST m=+2.348363201 INFO   : query(697) success, no. 41, client 4, latency 61.3601ms
2021-05-22 12:48:11.5441345 +0800 CST m=+2.404475301 INFO   : query(881) success, no. 42, client 4, latency 56.0866ms
2021-05-22 12:48:11.602774 +0800 CST m=+2.463114901 INFO   : query(157) success, no. 43, client 4, latency 58.6043ms
2021-05-22 12:48:11.6690723 +0800 CST m=+2.529413101 INFO   : query(741) success, no. 44, client 4, latency 66.2627ms
2021-05-22 12:48:11.7509959 +0800 CST m=+2.611336801 INFO   : query(841) success, no. 45, client 4, latency 81.8794ms
2021-05-22 12:48:11.8211473 +0800 CST m=+2.681488201 INFO   : query(739) success, no. 46, client 4, latency 70.1067ms
2021-05-22 12:48:11.8790622 +0800 CST m=+2.739403001 INFO   : query(287) success, no. 47, client 4, latency 57.8477ms
2021-05-22 12:48:11.937303 +0800 CST m=+2.797643801 INFO   : query(550) success, no. 48, client 4, latency 58.1846ms
2021-05-22 12:48:11.987937 +0800 CST m=+2.848277801 INFO   : query(6) success, no. 49, client 4, latency 50.6083ms
2021-05-22 12:48:12.0461375 +0800 CST m=+2.906478301 INFO   : query(656) success, no. 50, client 4, latency 58.1146ms
