2021-05-22 12:48:09.1964672 +0800 CST m=+0.056808101 INFO   : query(346) success, no. 0, client 1, latency 56.3662ms
2021-05-22 12:48:09.2533617 +0800 CST m=+0.113702601 INFO   : query(207) success, no. 1, client 1, latency 56.8301ms
2021-05-22 12:48:09.3050896 +0800 CST m=+0.165430501 INFO   : query(620) success, no. 2, client 1, latency 51.6543ms
2021-05-22 12:48:09.3546547 +0800 CST m=+0.214995601 INFO   : query(905) success, no. 3, client 1, latency 49.5435ms
2021-05-22 12:48:09.4039283 +0800 CST m=+0.264269101 INFO   : query(871) success, no. 4, client 1, latency 49.2449ms
2021-05-22 12:48:09.459887 +0800 CST m=+0.320227801 INFO   : query(171) success, no. 5, client 1, latency 55.9293ms
2021-05-22 12:48:09.5084158 +0800 CST m=+0.368756601 INFO   : query(730) success, no. 6, client 1, latency 48.5113ms
2021-05-22 12:48:09.5588906 +0800 CST m=+0.419231401 INFO   : query(4) success, no. 7, client 1, latency 50.4557ms
2021-05-22 12:48:09.6123996 +0800 CST m=+0.472740401 INFO   : query(161) success, no. 8, client 1, latency 53.4665ms
2021-05-22 12:48:09.6626851 +0800 CST m=+0.523025901 INFO   : query(14) success, no. 9, client 1, latency 50.2563ms
2021-05-22 12:48:09.714799 +0800 CST m=+0.575139801 INFO   : query(428) success, no. 10, client 1, latency 52.0744ms
2021-05-22 12:48:09.7693524 +0800 CST m=+0.629693201 INFO   : query(273) success, no. 11, client 1, latency 54.532ms
2021-05-22 12:48:09.8265392 +0800 CST m=+0.686880001 INFO   : query(658) success, no. 12, client 1, latency 57.1683ms
2021-05-22 12:48:09.8849366 +0800 CST m=+0.745277401 INFO   : query(255) success, no. 13, client 1, latency 58.3604ms
2021-05-22 12:48:09.9448011 +0800 CST m=+0.805141901 INFO   : query(70) success, no. 14, client 1, latency 59.7914ms
2021-05-22 12:48:09.9993939 +0800 CST m=+0.859734701 INFO   : query(957) success, no. 15, client 1, latency 54.5477ms
2021-05-22 12:48:10.0644226 +0800 CST m=+0.924763401 INFO   : query(109) success, no. 16, client 1, latency 64.9951ms
2021-05-22 12:48:10.1171482 +0800 CST m=+0.977489101 INFO   : query(455) success, no. 17, client 1, latency 52.6968ms
2021-05-22 12:48:10.1764821 +0800 CST m=+1.036822901 INFO   : query(610) success, no. 18, client 1, latency 59.2704ms
2021-05-22 12:48:10.22858 +0800 CST m=+1.088920801 INFO   : query(255) success, no. 19, client 1, latency 52.0698ms
2021-05-22 12:48:10.2836552 +0800 CST m=+1.143996001 INFO   : query(64) success, no. 20, client 1, latency 55.0361ms
2021-05-22 12:48:10.3399634 +0800 CST m=+1.200304201 INFO   : query(138) success, no. 21, client 1, latency 56.2679ms
2021-05-22 12:48:10.3938366 +0800 CST m=+1.254177401 INFO   : query(685) success, no. 22, client 1, latency 53.8006ms
2021-05-22 12:48:10.4472056 +0800 CST m=+1.307546501 INFO   : query(947) success, no. 23, client 1, latency 53.325ms
2021-05-22 12:48:10.4989495 +0800 CST m=+1.359290301 INFO   : query(303) success, no. 24, client 1, latency 51.7115ms
2021-05-22 12:48:10.5527703 +0800 CST m=+1.413111101 INFO   : query(868) success, no. 25, client 1, latency 53.8059ms
2021-05-22 12:48:10.6018533 +0800 CST m=+1.462194101 INFO   : query(188) success, no. 26, client 1, latency 49.0045ms
2021-05-22 12:48:10.6598529 +0800 CST m=+1.520193701 INFO   : query(137) success, no. 27, client 1, latency 57.9327ms
2021-05-22 12:48:10.7188892 +0800 CST m=+1.579230001 INFO   : query(973) success, no. 28, client 1, latency 59.0114ms
2021-05-22 12:48:10.7738433 +0800 CST m=+1.634184101 INFO   : query(22) success, no. 29, client 1, latency 54.9193ms
2021-05-22 12:48:10.8285897 +0800 CST m=+1.688930601 INFO   : query(980) success, no. 30, client 1, latency 54.715ms
2021-05-22 12:48:10.8792522 +0800 CST m=+1.739593001 INFO   : query(752) success, no. 31, client 1, latency 50.6416ms
2021-05-22 12:48:10.9381051 +0800 CST m=+1.798445901 INFO   : query(909) success, no. 32, client 1, latency 58.8281ms
2021-05-22 12:48:10.9969227 +0800 CST m=+1.857263501 INFO   : query(365) success, no. 33, client 1, latency 58.7999ms
2021-05-22 12:48:11.0586027 +0800 CST m=+1.918943501 INFO   : query(917) success, no. 34, client 1, latency 61.6517ms
2021-05-22 12:48:11.1215801 +0800 CST m=+1.981920901 INFO   : query(138) success, no. 35, client 1, latency 62.9522ms
2021-05-22 12:48:11.1829705 +0800 CST m=+2.043311301 INFO   : query(811) success, no. 36, client 1, latency 61.3381ms
2021-05-22 12:48:11.2422726 +0800 CST m=+2.102613401 INFO   : query(454) success, no. 37, client 1, latency 59.2411ms
2021-05-22 12:48:11.3022057 +0800 CST m=+2.162546601 INFO   : query(594) success, no. 38, client 1, latency 59.8648ms
2021-05-22 12:48:11.3614164 +0800 CST m=+2.221757201 INFO   : query(913) success, no. 39, client 1, latency 59.144ms
2021-05-22 12:48:11.4254754 +0800 CST m=+2.285816301 INFO   : query(84) success, no. 40, client 1, latency 64.0348ms
2021-05-22 12:48:11.48778 +0800 CST m=+2.348120801 INFO   : query(649) success, no. 41, client 1, latency 62.2328ms
2021-05-22 12:48:11.544877 +0800 CST m=+2.405217801 INFO   : query(58) success, no. 42, client 1, latency 57.0806ms
2021-05-22 12:48:11.6060402 +0800 CST m=+2.466381001 INFO   : query(27) success, no. 43, client 1, latency 61.1341ms
2021-05-22 12:48:11.6676288 +0800 CST m=+2.527969601 INFO   : query(829) success, no. 44, client 1, latency 61.5413ms
2021-05-22 12:48:11.7363259 +0800 CST m=+2.596666801 INFO   : query(632) success, no. 45, client 1, latency 68.6538ms
2021-05-22 12:48:11.7965609 +0800 CST m=+2.656901701 INFO   : query(244) success, no. 46, client 1, latency 60.1889ms
2021-05-22 12:48:11.8546844 +0800 CST m=+2.715025201 INFO   : query(857) success, no. 47, client 1, latency 58.0899ms
2021-05-22 12:48:11.9121216 +0800 CST m=+2.772462501 INFO   : query(575) success, no. 48, client 1, latency 57.4157ms
2021-05-22 12:48:11.9663582 +0800 CST m=+2.826699001 INFO   : query(271) success, no. 49, client 1, latency 54.1944ms
2021-05-22 12:48:12.0231352 +0800 CST m=+2.883476101 INFO   : query(832) success, no. 50, client 1, latency 56.7138ms
2021-05-22 12:48:09.1963781 +0800 CST m=+0.056718901 INFO   : query(958) success, no. 0, client 2, latency 56.2562ms
2021-05-22 12:48:09.2559131 +0800 CST m=+0.116254001 INFO   : query(824) success, no. 1, client 2, latency 59.3839ms
2021-05-22 12:48:09.3064733 +0800 CST m=+0.166814101 INFO   : query(689) success, no. 2, client 2, latency 50.5344ms
2021-05-22 12:48:09.3565381 +0800 CST m=+0.216879001 INFO   : query(578) success, no. 3, client 2, latency 50.0322ms
2021-05-22 12:48:09.4070753 +0800 CST m=+0.267416101 INFO   : query(905) success, no. 4, client 2, latency 50.5043ms
2021-05-22 12:48:09.4598331 +0800 CST m=+0.320174001 INFO   : query(86) success, no. 5, client 2, latency 52.7118ms
2021-05-22 12:48:09.5080618 +0800 CST m=+0.368402601 INFO   : query(975) success, no. 6, client 2, latency 48.1721ms
2021-05-22 12:48:09.5574731 +0800 CST m=+0.417814001 INFO   : query(515) success, no. 7, client 2, latency 49.3694ms
2021-05-22 12:48:09.6099775 +0800 CST m=+0.470318301 INFO   : query(491) success, no. 8, client 2, latency 52.4822ms
