2021-05-22 21:45:50.0949378 +0800 CST m=+0.045717201 INFO   : query(991) success, no. 1, client 1, latency 0.2494ms
2021-05-22 21:45:50.143853 +0800 CST m=+0.094632401 INFO   : query(169) success, no. 2, client 1, latency 0.2422ms
2021-05-22 21:45:50.1935871 +0800 CST m=+0.144366501 INFO   : query(524) success, no. 3, client 1, latency 0.3945ms
2021-05-22 21:45:50.2430746 +0800 CST m=+0.193854101 INFO   : query(220) success, no. 4, client 1, latency 0.3394ms
2021-05-22 21:45:50.2863012 +0800 CST m=+0.237080701 INFO   : query(939) success, no. 5, client 1, latency 0.3756ms
2021-05-22 21:45:50.3338322 +0800 CST m=+0.284611601 INFO   : query(527) success, no. 6, client 1, latency 0.2311ms
2021-05-22 21:45:50.3782507 +0800 CST m=+0.329030201 INFO   : query(822) success, no. 7, client 1, latency 0.2623ms
2021-05-22 21:45:50.4230244 +0800 CST m=+0.373803801 INFO   : query(996) success, no. 8, client 1, latency 0.3428ms
2021-05-22 21:45:50.4669369 +0800 CST m=+0.417716401 INFO   : query(942) success, no. 9, client 1, latency 0.4335ms
2021-05-22 21:45:50.5114308 +0800 CST m=+0.462210301 INFO   : query(540) success, no. 10, client 1, latency 0.4702ms
2021-05-22 21:45:50.5577849 +0800 CST m=+0.508564401 INFO   : query(747) success, no. 11, client 1, latency 0.3387ms
2021-05-22 21:45:50.6027413 +0800 CST m=+0.553520701 INFO   : query(926) success, no. 12, client 1, latency 0.3184ms
2021-05-22 21:45:50.6489502 +0800 CST m=+0.599729701 INFO   : query(61) success, no. 13, client 1, latency 0.26ms
2021-05-22 21:45:50.6972072 +0800 CST m=+0.647986601 INFO   : query(923) success, no. 14, client 1, latency 0.3743ms
2021-05-22 21:45:50.7466892 +0800 CST m=+0.697468701 INFO   : query(449) success, no. 15, client 1, latency 0.2072ms
2021-05-22 21:45:50.7920351 +0800 CST m=+0.742814501 INFO   : query(58) success, no. 16, client 1, latency 0.2113ms
2021-05-22 21:45:50.8395791 +0800 CST m=+0.790358501 INFO   : query(163) success, no. 17, client 1, latency 0.4399ms
2021-05-22 21:45:50.8862811 +0800 CST m=+0.837060601 INFO   : query(550) success, no. 18, client 1, latency 0.2804ms
2021-05-22 21:45:50.9335731 +0800 CST m=+0.884352601 INFO   : query(570) success, no. 19, client 1, latency 0.4957ms
2021-05-22 21:45:50.9787164 +0800 CST m=+0.929495901 INFO   : query(219) success, no. 20, client 1, latency 0.4261ms
2021-05-22 21:45:50.094546 +0800 CST m=+0.045325501 INFO   : query(916) success, no. 1, client 2, latency 0.4196ms
2021-05-22 21:45:50.1440402 +0800 CST m=+0.094819701 INFO   : query(890) success, no. 2, client 2, latency 0.2405ms
2021-05-22 21:45:50.1934872 +0800 CST m=+0.144266601 INFO   : query(212) success, no. 3, client 2, latency 0.4452ms
2021-05-22 21:45:50.2421391 +0800 CST m=+0.192918601 INFO   : query(581) success, no. 4, client 2, latency 0.3857ms
2021-05-22 21:45:50.2860438 +0800 CST m=+0.236823301 INFO   : query(822) success, no. 5, client 2, latency 0.4778ms
2021-05-22 21:45:50.3336572 +0800 CST m=+0.284436601 INFO   : query(611) success, no. 6, client 2, latency 0.3079ms
2021-05-22 21:45:50.3780048 +0800 CST m=+0.328784201 INFO   : query(48) success, no. 7, client 2, latency 0.5654ms
2021-05-22 21:45:50.4233035 +0800 CST m=+0.374082901 INFO   : query(400) success, no. 8, client 2, latency 0.6561ms
2021-05-22 21:45:50.4677726 +0800 CST m=+0.418552101 INFO   : query(829) success, no. 9, client 2, latency 0.3504ms
2021-05-22 21:45:50.5109893 +0800 CST m=+0.461768701 INFO   : query(969) success, no. 10, client 2, latency 0.4204ms
2021-05-22 21:45:50.5574663 +0800 CST m=+0.508245701 INFO   : query(545) success, no. 11, client 2, latency 0.4831ms
2021-05-22 21:45:50.6029335 +0800 CST m=+0.553713001 INFO   : query(897) success, no. 12, client 2, latency 0.3484ms
2021-05-22 21:45:50.648706 +0800 CST m=+0.599485501 INFO   : query(743) success, no. 13, client 2, latency 0.3829ms
2021-05-22 21:45:50.6970167 +0800 CST m=+0.647796201 INFO   : query(686) success, no. 14, client 2, latency 0.4402ms
2021-05-22 21:45:50.7466979 +0800 CST m=+0.697477301 INFO   : query(674) success, no. 15, client 2, latency 0.3177ms
2021-05-22 21:45:50.7920567 +0800 CST m=+0.742836101 INFO   : query(997) success, no. 16, client 2, latency 0.4623ms
2021-05-22 21:45:50.8397484 +0800 CST m=+0.790527801 INFO   : query(975) success, no. 17, client 2, latency 0.3507ms
2021-05-22 21:45:50.8862811 +0800 CST m=+0.837060601 INFO   : query(318) success, no. 18, client 2, latency 0.4616ms
2021-05-22 21:45:50.9335594 +0800 CST m=+0.884338801 INFO   : query(457) success, no. 19, client 2, latency 0.341ms
2021-05-22 21:45:50.9787132 +0800 CST m=+0.929492601 INFO   : query(333) success, no. 20, client 2, latency 0.4829ms
2021-05-22 21:45:50.0950772 +0800 CST m=+0.045856601 INFO   : query(624) success, no. 1, client 3, latency 0.3535ms
2021-05-22 21:45:50.1438886 +0800 CST m=+0.094668101 INFO   : query(119) success, no. 2, client 3, latency 0.4567ms
2021-05-22 21:45:50.1940825 +0800 CST m=+0.144862001 INFO   : query(277) success, no. 3, client 3, latency 0.2604ms
2021-05-22 21:45:50.242889 +0800 CST m=+0.193668501 INFO   : query(977) success, no. 4, client 3, latency 0.2601ms
2021-05-22 21:45:50.2869304 +0800 CST m=+0.237709801 INFO   : query(885) success, no. 5, client 3, latency 0.3221ms
2021-05-22 21:45:50.3335816 +0800 CST m=+0.284361101 INFO   : query(80) success, no. 6, client 3, latency 0.442ms
2021-05-22 21:45:50.378091 +0800 CST m=+0.328870501 INFO   : query(955) success, no. 7, client 3, latency 0.3472ms
2021-05-22 21:45:50.4228439 +0800 CST m=+0.373623301 INFO   : query(857) success, no. 8, client 3, latency 0.4177ms
2021-05-22 21:45:50.4669369 +0800 CST m=+0.417716401 INFO   : query(556) success, no. 9, client 3, latency 0.3143ms
2021-05-22 21:45:50.5114777 +0800 CST m=+0.462257101 INFO   : query(967) success, no. 10, client 3, latency 0.325ms
2021-05-22 21:45:50.5581772 +0800 CST m=+0.508956701 INFO   : query(240) success, no. 11, client 3, latency 0.2864ms
