2021-05-22 21:45:50.0950772 +0800 CST m=+0.045856601 INFO   : query(624) success, no. 1, client 3, latency 0.3535ms
2021-05-22 21:45:50.1438886 +0800 CST m=+0.094668101 INFO   : query(119) success, no. 2, client 3, latency 0.4567ms
2021-05-22 21:45:50.1940825 +0800 CST m=+0.144862001 INFO   : query(277) success, no. 3, client 3, latency 0.2604ms
2021-05-22 21:45:50.242889 +0800 CST m=+0.193668501 INFO   : query(977) success, no. 4, client 3, latency 0.2601ms
2021-05-22 21:45:50.2869304 +0800 CST m=+0.237709801 INFO   : query(885) success, no. 5, client 3, latency 0.3221ms
2021-05-22 21:45:50.3335816 +0800 CST m=+0.284361101 INFO   : query(80) success, no. 6, client 3, latency 0.442ms
2021-05-22 21:45:50.378091 +0800 CST m=+0.328870501 INFO   : query(955) success, no. 7, client 3, latency 0.3472ms
2021-05-22 21:45:50.4228439 +0800 CST m=+0.373623301 INFO   : query(857) success, no. 8, client 3, latency 0.4177ms
2021-05-22 21:45:50.4669369 +0800 CST m=+0.417716401 INFO   : query(556) success, no. 9, client 3, latency 0.3143ms
2021-05-22 21:45:50.5114777 +0800 CST m=+0.462257101 INFO   : query(967) success, no. 10, client 3, latency 0.325ms
2021-05-22 21:45:50.5581772 +0800 CST m=+0.508956701 INFO   : query(240) success, no. 11, client 3, latency 0.2864ms
2021-05-22 21:45:50.6025926 +0800 CST m=+0.553372001 INFO   : query(120) success, no. 12, client 3, latency 0.4196ms
2021-05-22 21:45:50.6491175 +0800 CST m=+0.599897001 INFO   : query(495) success, no. 13, client 3, latency 0.4371ms
2021-05-22 21:45:50.6973501 +0800 CST m=+0.648129601 INFO   : query(151) success, no. 14, client 3, latency 0.3237ms
2021-05-22 21:45:50.7468976 +0800 CST m=+0.697677001 INFO   : query(679) success, no. 15, client 3, latency 0.3008ms
2021-05-22 21:45:50.7918173 +0800 CST m=+0.742596701 INFO   : query(773) success, no. 16, client 3, latency 0.3603ms
2021-05-22 21:45:50.8398756 +0800 CST m=+0.790655101 INFO   : query(780) success, no. 17, client 3, latency 0.2941ms
2021-05-22 21:45:50.8871394 +0800 CST m=+0.837918901 INFO   : query(723) success, no. 18, client 3, latency 0.3786ms
2021-05-22 21:45:50.9335567 +0800 CST m=+0.884336201 INFO   : query(168) success, no. 19, client 3, latency 0.4331ms
2021-05-22 21:45:50.9789897 +0800 CST m=+0.929769101 INFO   : query(824) success, no. 20, client 3, latency 0.3082ms
