2021-05-22 21:45:50.094546 +0800 CST m=+0.045325501 INFO   : query(916) success, no. 1, client 2, latency 0.4196ms
2021-05-22 21:45:50.1440402 +0800 CST m=+0.094819701 INFO   : query(890) success, no. 2, client 2, latency 0.2405ms
2021-05-22 21:45:50.1934872 +0800 CST m=+0.144266601 INFO   : query(212) success, no. 3, client 2, latency 0.4452ms
2021-05-22 21:45:50.2421391 +0800 CST m=+0.192918601 INFO   : query(581) success, no. 4, client 2, latency 0.3857ms
2021-05-22 21:45:50.2860438 +0800 CST m=+0.236823301 INFO   : query(822) success, no. 5, client 2, latency 0.4778ms
2021-05-22 21:45:50.3336572 +0800 CST m=+0.284436601 INFO   : query(611) success, no. 6, client 2, latency 0.3079ms
2021-05-22 21:45:50.3780048 +0800 CST m=+0.328784201 INFO   : query(48) success, no. 7, client 2, latency 0.5654ms
2021-05-22 21:45:50.4233035 +0800 CST m=+0.374082901 INFO   : query(400) success, no. 8, client 2, latency 0.6561ms
2021-05-22 21:45:50.4677726 +0800 CST m=+0.418552101 INFO   : query(829) success, no. 9, client 2, latency 0.3504ms
2021-05-22 21:45:50.5109893 +0800 CST m=+0.461768701 INFO   : query(969) success, no. 10, client 2, latency 0.4204ms
2021-05-22 21:45:50.5574663 +0800 CST m=+0.508245701 INFO   : query(545) success, no. 11, client 2, latency 0.4831ms
2021-05-22 21:45:50.6029335 +0800 CST m=+0.553713001 INFO   : query(897) success, no. 12, client 2, latency 0.3484ms
2021-05-22 21:45:50.648706 +0800 CST m=+0.599485501 INFO   : query(743) success, no. 13, client 2, latency 0.3829ms
2021-05-22 21:45:50.6970167 +0800 CST m=+0.647796201 INFO   : query(686) success, no. 14, client 2, latency 0.4402ms
2021-05-22 21:45:50.7466979 +0800 CST m=+0.697477301 INFO   : query(674) success, no. 15, client 2, latency 0.3177ms
2021-05-22 21:45:50.7920567 +0800 CST m=+0.742836101 INFO   : query(997) success, no. 16, client 2, latency 0.4623ms
2021-05-22 21:45:50.8397484 +0800 CST m=+0.790527801 INFO   : query(975) success, no. 17, client 2, latency 0.3507ms
2021-05-22 21:45:50.8862811 +0800 CST m=+0.837060601 INFO   : query(318) success, no. 18, client 2, latency 0.4616ms
2021-05-22 21:45:50.9335594 +0800 CST m=+0.884338801 INFO   : query(457) success, no. 19, client 2, latency 0.341ms
2021-05-22 21:45:50.9787132 +0800 CST m=+0.929492601 INFO   : query(333) success, no. 20, client 2, latency 0.4829ms
