2021-05-22 21:46:41.1108589 +0800 CST m=+0.559263201 INFO   : query(433) success, no. 12, client 3, latency 1.7705ms
2021-05-22 21:46:41.1560649 +0800 CST m=+0.604469301 INFO   : query(408) success, no. 13, client 3, latency 1.4507ms
2021-05-22 21:46:41.2014752 +0800 CST m=+0.649879501 INFO   : query(95) success, no. 14, client 3, latency 1.5621ms
2021-05-22 21:46:41.2486712 +0800 CST m=+0.697075501 INFO   : query(315) success, no. 15, client 3, latency 1.7953ms
2021-05-22 21:46:41.2953197 +0800 CST m=+0.743724001 INFO   : query(756) success, no. 16, client 3, latency 1.5243ms
2021-05-22 21:46:41.3431229 +0800 CST m=+0.791527301 INFO   : query(650) success, no. 17, client 3, latency 1.255ms
2021-05-22 21:46:41.391494 +0800 CST m=+0.839898301 INFO   : query(158) success, no. 18, client 3, latency 1.5319ms
2021-05-22 21:46:41.4389252 +0800 CST m=+0.887329501 INFO   : query(285) success, no. 19, client 3, latency 1.4979ms
2021-05-22 21:46:41.4867379 +0800 CST m=+0.935142301 INFO   : query(7) success, no. 20, client 3, latency 1.245ms
2021-05-22 21:46:40.6026232 +0800 CST m=+0.051027601 INFO   : query(894) success, no. 1, client 4, latency 3.5113ms
2021-05-22 21:46:40.6500771 +0800 CST m=+0.098481401 INFO   : query(28) success, no. 2, client 4, latency 1.4781ms
2021-05-22 21:46:40.6971507 +0800 CST m=+0.145555001 INFO   : query(202) success, no. 3, client 4, latency 1.1739ms
2021-05-22 21:46:40.7430731 +0800 CST m=+0.191477501 INFO   : query(718) success, no. 4, client 4, latency 1.2677ms
2021-05-22 21:46:40.78972 +0800 CST m=+0.238124301 INFO   : query(654) success, no. 5, client 4, latency 1.1813ms
2021-05-22 21:46:40.8359612 +0800 CST m=+0.284365501 INFO   : query(297) success, no. 6, client 4, latency 1.4789ms
2021-05-22 21:46:40.8828653 +0800 CST m=+0.331269601 INFO   : query(981) success, no. 7, client 4, latency 1.5709ms
2021-05-22 21:46:40.9276497 +0800 CST m=+0.376054001 INFO   : query(863) success, no. 8, client 4, latency 1.6225ms
2021-05-22 21:46:40.9747402 +0800 CST m=+0.423144501 INFO   : query(975) success, no. 9, client 4, latency 1.0541ms
2021-05-22 21:46:41.0194058 +0800 CST m=+0.467810101 INFO   : query(184) success, no. 10, client 4, latency 1.5542ms
2021-05-22 21:46:41.0637207 +0800 CST m=+0.512125101 INFO   : query(344) success, no. 11, client 4, latency 1.2636ms
2021-05-22 21:46:41.1116508 +0800 CST m=+0.560055101 INFO   : query(930) success, no. 12, client 4, latency 1.7994ms
2021-05-22 21:46:41.1560447 +0800 CST m=+0.604449001 INFO   : query(598) success, no. 13, client 4, latency 1.3424ms
2021-05-22 21:46:41.2009487 +0800 CST m=+0.649353101 INFO   : query(231) success, no. 14, client 4, latency 1.4814ms
2021-05-22 21:46:41.2483939 +0800 CST m=+0.696798201 INFO   : query(149) success, no. 15, client 4, latency 1.2566ms
2021-05-22 21:46:41.2955062 +0800 CST m=+0.743910501 INFO   : query(864) success, no. 16, client 4, latency 1.4621ms
2021-05-22 21:46:41.343128 +0800 CST m=+0.791532301 INFO   : query(498) success, no. 17, client 4, latency 1.3582ms
2021-05-22 21:46:41.3919771 +0800 CST m=+0.840381501 INFO   : query(122) success, no. 18, client 4, latency 1.1229ms
2021-05-22 21:46:41.4390975 +0800 CST m=+0.887501801 INFO   : query(213) success, no. 19, client 4, latency 1.4385ms
2021-05-22 21:46:41.4869284 +0800 CST m=+0.935332701 INFO   : query(718) success, no. 20, client 4, latency 1.2798ms
